customer_id,registration_date,country,age_group,customer_segment,acquisition_channel,loyalty_member,loyalty_join_date
CUS-00394,2025-03-02,United Kingdom,35-44,New,Paid Social,False,
CUS-00395,2026-06-09,United Kingdom,25-34,Active,Organic,False,
CUS-00396,2024-04-18,Spain,45-54,New,Organic,False,
CUS-00397,2026-03-05,Spain,25-34,At Risk,Paid Social,False,
CUS-00398,2025-12-23,United Kingdom,55+,At Risk,Organic,True,2026-04-18
CUS-00399,2025-04-13,Poland,18-24,New,Paid Search,False,
CUS-00400,2025-11-20,Poland,45-54,High Value,Paid Social,True,2025-11-20
CUS-00401,2024-11-06,Spain,35-44,At Risk,Organic,False,
CUS-00402,2024-10-10,Poland,25-34,At Risk,Paid Social,False,
CUS-00403,2024-06-13,Poland,25-34,New,Paid Search,False,
CUS-00404,2025-05-20,Poland,35-44,Active,Paid Search,True,2026-01-25
CUS-00405,2025-07-14,Poland,25-34,High Value,Paid Search,True,2026-01-01
CUS-00406,2025-06-08,Poland,35-44,Active,Paid Social,False,
CUS-00407,2026-06-06,Poland,25-34,New,Organic,False,
CUS-00408,2024-06-18,Poland,35-44,High Value,Referral,False,
CUS-00409,2025-09-24,Germany,55+,Active,Email,False,
CUS-00410,2025-07-27,Germany,18-24,New,Paid Search,False,
CUS-00411,2024-04-11,Germany,45-54,At Risk,Paid Search,True,2024-08-20
CUS-00412,2024-10-05,Germany,18-24,Active,Organic,False,
CUS-00413,2025-09-30,Germany,18-24,At Risk,Paid Search,True,2026-06-14
CUS-00414,2026-04-01,Spain,25-34,At Risk,Paid Social,False,
CUS-00415,2026-03-10,Poland,45-54,At Risk,Paid Search,False,
CUS-00416,2024-12-24,Poland,25-34,Active,Organic,False,
CUS-00417,2023-12-15,United Kingdom,25-34,Active,Paid Social,True,2024-12-13
CUS-00418,2026-06-02,Poland,45-54,Active,Paid Search,True,2026-07-02
CUS-00419,2024-07-05,Germany,25-34,Active,Email,False,
CUS-00420,2024-05-27,Germany,18-24,Active,Organic,True,2025-01-10
CUS-00421,2023-08-29,United Kingdom,55+,High Value,Paid Social,True,2023-11-08
CUS-00422,2024-08-06,Spain,25-34,High Value,Organic,True,2025-08-10
CUS-00423,2026-02-26,Poland,35-44,Active,Organic,False,
CUS-00424,2023-11-13,Poland,18-24,At Risk,Organic,True,2025-10-20
CUS-00425,2025-04-26,Poland,25-34,Active,Paid Search,True,2026-07-17
CUS-00426,2024-05-20,Poland,18-24,Active,Organic,True,2026-01-06
CUS-00427,2025-08-28,Spain,55+,New,Paid Social,False,
CUS-00428,2025-04-03,United Kingdom,45-54,Active,Referral,True,2025-10-09
CUS-00429,2024-03-08,United Kingdom,45-54,At Risk,Paid Search,False,
CUS-00430,2026-05-07,Spain,45-54,At Risk,Organic,True,2026-07-12
CUS-00431,2023-07-31,United Kingdom,45-54,High Value,Paid Social,True,2024-01-12
CUS-00432,2025-05-13,Poland,25-34,At Risk,Organic,True,2025-10-29
CUS-00433,2024-04-21,Poland,25-34,Active,Email,True,2026-07-04
CUS-00434,2025-07-13,Poland,25-34,Active,Paid Social,False,
CUS-00435,2023-10-09,Germany,25-34,Active,Paid Search,True,2026-02-20
CUS-00436,2024-08-13,United Kingdom,25-34,Active,Email,False,
CUS-00437,2024-01-27,United Kingdom,18-24,High Value,Paid Social,False,
CUS-00438,2025-07-01,Germany,25-34,New,Email,False,
CUS-00439,2024-02-15,United Kingdom,18-24,New,Paid Social,False,
CUS-00440,2025-07-13,Germany,25-34,At Risk,Paid Social,True,2026-03-29
CUS-00441,2025-10-25,Spain,25-34,New,Paid Search,False,
CUS-00442,2025-12-07,Poland,25-34,Active,Organic,False,
CUS-00443,2026-02-02,Spain,35-44,At Risk,Email,False,
CUS-00444,2024-11-26,Spain,55+,New,Paid Search,False,
CUS-00445,2025-06-09,Poland,25-34,Active,Email,False,
CUS-00446,2026-02-28,Poland,18-24,Active,Paid Social,False,
CUS-00447,2025-09-14,Poland,55+,Active,Referral,False,
CUS-00448,2025-05-15,Poland,25-34,At Risk,Paid Social,True,2026-07-14
CUS-00449,2025-06-14,Poland,25-34,Active,Paid Search,True,2025-10-15
CUS-00450,2025-07-29,Germany,25-34,New,Paid Search,False,
CUS-00451,2025-06-21,Poland,35-44,Active,Email,False,
CUS-00452,2024-08-28,United Kingdom,18-24,Active,Paid Search,False,
CUS-00453,2024-08-10,Germany,18-24,High Value,Paid Social,False,
CUS-00454,2026-04-08,Germany,45-54,New,Email,False,
CUS-00455,2024-09-25,United Kingdom,45-54,Active,Email,False,
CUS-00456,2025-10-09,Poland,45-54,New,Paid Social,False,
CUS-00457,2025-08-13,Poland,45-54,Active,Organic,True,2026-04-13
CUS-00458,2024-07-28,United Kingdom,25-34,New,Organic,False,
CUS-00459,2024-09-21,Germany,25-34,At Risk,Organic,False,
CUS-00460,2025-06-05,Poland,18-24,New,Referral,False,
CUS-00461,2023-11-20,Germany,35-44,At Risk,Paid Search,False,
CUS-00462,2024-10-08,Poland,35-44,Active,Email,False,
CUS-00463,2024-07-21,Poland,25-34,At Risk,Paid Search,True,2025-02-17
CUS-00464,2024-12-25,United Kingdom,35-44,Active,Email,True,2025-08-30
CUS-00465,2025-11-08,Poland,18-24,New,Organic,True,2025-12-09
CUS-00466,2024-02-22,Poland,35-44,At Risk,Paid Search,True,2024-10-13
CUS-00467,2024-07-16,United Kingdom,18-24,Active,Paid Search,True,2025-05-09
CUS-00468,2024-03-16,Poland,35-44,High Value,Organic,False,
CUS-00469,2024-06-19,United Kingdom,25-34,New,Referral,True,2024-08-07
CUS-00470,2025-04-27,United Kingdom,18-24,New,Organic,False,
CUS-00471,2025-04-16,Poland,35-44,New,Paid Search,False,
CUS-00472,2024-12-18,Germany,55+,High Value,Organic,True,2026-02-12
CUS-00473,2025-07-15,Germany,55+,At Risk,Paid Social,True,2025-12-23
CUS-00474,2023-10-27,Poland,25-34,High Value,Paid Social,True,2024-09-12
CUS-00475,2025-05-05,Poland,25-34,Active,Paid Search,True,2026-03-03
CUS-00476,2026-01-15,Germany,18-24,New,Paid Social,False,
CUS-00477,2023-08-22,Poland,18-24,At Risk,Organic,True,2026-02-01
CUS-00478,2025-03-04,Poland,45-54,High Value,Organic,False,
CUS-00479,2025-08-01,Poland,18-24,Active,Paid Social,False,
CUS-00480,2023-08-01,Poland,18-24,At Risk,Paid Social,True,2025-01-28
CUS-00481,2024-10-28,United Kingdom,55+,Active,Referral,False,
CUS-00482,2025-03-19,Poland,25-34,New,Email,False,
CUS-00483,2025-05-03,Poland,35-44,High Value,Paid Search,False,
CUS-00484,2025-11-05,Germany,18-24,New,Email,False,
CUS-00485,2025-11-17,United Kingdom,18-24,New,Email,False,
CUS-00486,2026-02-14,United Kingdom,35-44,High Value,Referral,True,2026-03-28
CUS-00487,2025-08-19,Germany,25-34,At Risk,Paid Social,False,
CUS-00488,2024-06-27,United Kingdom,25-34,At Risk,Referral,False,
CUS-00489,2024-09-18,Poland,35-44,At Risk,Paid Search,True,2025-08-22
CUS-00490,2025-08-15,Poland,35-44,Active,Paid Social,True,2025-08-26
CUS-00491,2025-03-18,Germany,45-54,High Value,Paid Social,True,2025-12-04
CUS-00492,2026-05-27,Poland,25-34,Active,Paid Social,False,
CUS-00493,2026-06-12,Poland,35-44,At Risk,Organic,False,
CUS-00494,2025-04-11,Germany,35-44,High Value,Paid Search,False,
CUS-00495,2024-04-04,United Kingdom,35-44,Active,Paid Search,False,
CUS-00496,2025-07-18,Poland,25-34,New,Email,False,
CUS-00497,2024-02-06,Poland,25-34,Active,Referral,True,2026-05-15
CUS-00498,2023-09-02,United Kingdom,18-24,Active,Paid Social,False,
CUS-00499,2025-03-26,Poland,55+,At Risk,Email,False,
CUS-00500,2026-01-27,Poland,45-54,Active,Paid Search,False,
CUS-00501,2025-12-15,Spain,45-54,New,Organic,False,
CUS-00502,2026-05-17,Spain,35-44,New,Paid Social,False,
CUS-00503,2023-09-03,Poland,18-24,Active,Organic,False,
CUS-00504,2023-11-30,Poland,35-44,At Risk,Organic,True,2025-09-25
CUS-00505,2024-02-18,Poland,35-44,New,Email,False,
CUS-00506,2025-07-09,Spain,45-54,New,Paid Social,False,
CUS-00507,2024-04-30,United Kingdom,18-24,Active,Email,False,
CUS-00508,2023-10-09,Poland,18-24,Active,Paid Social,False,
CUS-00509,2024-08-30,Poland,25-34,Active,Paid Social,False,
CUS-00510,2025-03-02,Poland,25-34,Active,Organic,False,
CUS-00511,2024-12-12,Germany,55+,Active,Organic,False,
CUS-00512,2024-06-15,Poland,35-44,High Value,Organic,True,2025-06-03
CUS-00513,2024-12-11,United Kingdom,35-44,Active,Paid Social,False,
CUS-00514,2024-12-28,Poland,35-44,Active,Email,True,2025-10-18
CUS-00515,2024-09-27,United Kingdom,45-54,New,Paid Social,False,
CUS-00516,2025-05-07,Spain,18-24,Active,Email,False,
CUS-00517,2024-08-17,Poland,25-34,New,Organic,False,
CUS-00518,2023-11-27,Poland,35-44,Active,Paid Search,True,2025-11-26
CUS-00519,2023-08-22,United Kingdom,18-24,High Value,Organic,False,
CUS-00520,2025-11-06,Poland,55+,At Risk,Email,True,2025-11-26
CUS-00521,2025-01-16,Germany,45-54,Active,Organic,False,
CUS-00522,2024-07-05,Poland,35-44,New,Paid Search,False,
CUS-00523,2026-04-27,Germany,45-54,At Risk,Organic,False,
CUS-00524,2023-11-06,Spain,45-54,Active,Email,True,2024-01-07
CUS-00525,2023-09-09,Poland,55+,At Risk,Paid Social,False,
CUS-00526,2024-08-10,Poland,25-34,Active,Organic,False,
CUS-00527,2024-05-27,Spain,35-44,New,Paid Social,False,
CUS-00528,2023-08-23,Poland,45-54,Active,Organic,False,
CUS-00529,2026-03-14,Germany,45-54,High Value,Organic,False,
CUS-00530,2024-03-15,United Kingdom,35-44,At Risk,Referral,False,
CUS-00531,2024-07-27,United Kingdom,45-54,At Risk,Paid Search,False,
CUS-00532,2024-02-04,Germany,18-24,At Risk,Organic,False,
CUS-00533,2025-07-27,Poland,25-34,At Risk,Paid Search,False,
CUS-00534,2026-05-27,Poland,35-44,At Risk,Paid Search,False,
CUS-00535,2024-01-16,Poland,35-44,Active,Paid Social,False,
CUS-00536,2025-12-15,United Kingdom,45-54,Active,Paid Search,False,
CUS-00537,2024-06-25,Poland,35-44,At Risk,Organic,False,
CUS-00538,2025-07-14,United Kingdom,25-34,High Value,Paid Social,True,2026-04-11
CUS-00539,2024-08-24,Spain,55+,At Risk,Email,False,
CUS-00540,2025-02-15,Poland,25-34,New,Email,False,
CUS-00541,2024-04-08,Poland,45-54,High Value,Referral,True,2024-10-02
CUS-00542,2024-04-02,Poland,25-34,Active,Paid Social,False,
CUS-00543,2024-11-17,Poland,18-24,At Risk,Email,True,2025-02-08
CUS-00544,2026-01-06,Spain,18-24,New,Paid Social,False,
CUS-00545,2023-08-31,Poland,25-34,Active,Organic,False,
CUS-00546,2024-11-18,Poland,25-34,High Value,Email,False,
CUS-00547,2026-01-02,Germany,25-34,New,Organic,False,
CUS-00548,2026-06-09,Germany,45-54,Active,Paid Social,True,2026-06-27
CUS-00549,2025-03-30,Poland,45-54,New,Paid Search,False,
CUS-00550,2024-05-26,Poland,35-44,High Value,Organic,True,2024-09-21
CUS-00551,2026-01-27,United Kingdom,18-24,New,Email,False,
CUS-00552,2026-03-23,United Kingdom,35-44,High Value,Paid Social,False,
CUS-00553,2024-08-03,Poland,25-34,High Value,Organic,False,
CUS-00554,2023-12-28,United Kingdom,45-54,At Risk,Email,False,
CUS-00555,2024-11-02,Spain,18-24,New,Referral,False,
CUS-00556,2026-06-19,Germany,25-34,Active,Organic,False,
CUS-00557,2026-02-09,Germany,25-34,New,Organic,False,
CUS-00558,2024-01-27,Germany,55+,High Value,Paid Search,True,2026-06-24
CUS-00559,2023-09-24,United Kingdom,55+,At Risk,Referral,True,2025-03-16
CUS-00560,2025-10-27,Poland,35-44,Active,Referral,False,
CUS-00561,2025-05-18,Poland,35-44,At Risk,Organic,False,
CUS-00562,2026-05-15,United Kingdom,25-34,New,Organic,False,
CUS-00563,2025-02-17,United Kingdom,18-24,New,Organic,False,
CUS-00564,2023-11-07,Germany,25-34,Active,Email,True,2025-12-31
CUS-00565,2026-04-23,Poland,55+,Active,Email,False,
CUS-00566,2025-01-03,Poland,45-54,High Value,Referral,True,2025-01-12
CUS-00567,2025-05-05,Germany,45-54,New,Paid Social,False,
CUS-00568,2025-08-22,Poland,25-34,Active,Organic,False,
CUS-00569,2024-01-02,Poland,25-34,High Value,Organic,True,2025-11-05
CUS-00570,2025-02-04,Poland,45-54,Active,Paid Search,True,2026-06-12
CUS-00571,2025-07-06,United Kingdom,25-34,Active,Referral,False,
CUS-00572,2024-03-16,Poland,45-54,At Risk,Paid Search,False,
CUS-00573,2025-05-29,Poland,18-24,Active,Paid Search,False,
CUS-00574,2024-04-21,Germany,55+,New,Organic,False,
CUS-00575,2025-10-10,Poland,25-34,Active,Organic,False,
CUS-00576,2026-04-28,Poland,35-44,New,Organic,False,
CUS-00577,2024-09-14,Germany,25-34,New,Paid Social,True,2026-01-05
CUS-00578,2025-11-05,Spain,18-24,New,Organic,True,2026-05-11
CUS-00579,2025-07-14,Germany,35-44,New,Email,False,
CUS-00580,2025-05-29,Poland,35-44,New,Paid Search,False,
CUS-00581,2026-01-28,Poland,55+,Active,Paid Search,False,
CUS-00582,2024-09-11,Poland,55+,Active,Paid Social,False,
CUS-00583,2024-12-04,Germany,35-44,High Value,Paid Search,True,2025-06-12
CUS-00584,2023-12-04,Spain,18-24,New,Referral,False,
CUS-00585,2024-09-28,Poland,35-44,At Risk,Organic,True,2025-09-13
CUS-00586,2024-08-04,Germany,25-34,Active,Paid Social,False,
CUS-00587,2025-07-13,Germany,55+,Active,Paid Social,True,2026-02-19
CUS-00588,2026-02-25,Poland,25-34,Active,Organic,True,2026-07-04
CUS-00589,2025-03-02,United Kingdom,25-34,At Risk,Organic,True,2025-11-18
CUS-00590,2023-09-05,United Kingdom,55+,Active,Email,True,2025-10-11
CUS-00591,2024-12-08,Poland,55+,New,Paid Social,False,
CUS-00592,2024-04-30,Poland,25-34,Active,Email,True,2026-05-27
CUS-00593,2024-06-16,Poland,35-44,High Value,Organic,False,
CUS-00594,2025-01-24,Poland,35-44,Active,Organic,True,2025-08-12
CUS-00595,2025-01-01,Poland,55+,Active,Paid Social,False,
CUS-00596,2024-09-29,United Kingdom,45-54,At Risk,Email,False,
CUS-00597,2026-02-03,Poland,35-44,Active,Organic,True,2026-06-19
CUS-00598,2024-09-24,Germany,25-34,New,Paid Social,True,2025-11-29
CUS-00599,2023-08-07,Poland,35-44,High Value,Paid Social,False,
CUS-00600,2025-10-02,Poland,55+,Active,Organic,False,
CUS-00601,2024-05-14,Poland,45-54,At Risk,Organic,False,
CUS-00602,2023-12-02,Poland,18-24,High Value,Referral,True,2024-12-10
CUS-00603,2025-04-14,United Kingdom,35-44,Active,Organic,False,
CUS-00604,2025-08-19,Poland,25-34,High Value,Organic,False,
CUS-00605,2025-12-01,Germany,35-44,Active,Paid Search,False,
CUS-00606,2024-07-30,Spain,35-44,New,Paid Search,False,
CUS-00607,2025-07-31,Poland,25-34,High Value,Email,True,2026-04-07
CUS-00608,2025-08-23,Poland,25-34,High Value,Paid Social,True,2026-02-13
CUS-00609,2023-08-18,United Kingdom,25-34,Active,Referral,False,
CUS-00610,2023-12-14,Germany,55+,At Risk,Organic,False,
CUS-00611,2024-10-22,Germany,45-54,At Risk,Paid Social,True,2025-04-12
CUS-00612,2025-04-11,Poland,25-34,Active,Organic,False,
CUS-00613,2024-08-03,Poland,55+,Active,Paid Search,False,
CUS-00614,2024-11-09,Poland,45-54,Active,Paid Search,False,
CUS-00615,2026-05-19,United Kingdom,45-54,New,Email,False,
CUS-00616,2026-01-11,Germany,35-44,At Risk,Organic,False,
CUS-00617,2025-02-15,United Kingdom,45-54,New,Referral,False,
CUS-00618,2025-07-27,Germany,35-44,Active,Email,True,2026-02-26
CUS-00619,2025-10-24,Spain,55+,At Risk,Paid Search,False,
CUS-00620,2025-01-07,Poland,25-34,New,Organic,True,2025-12-03
CUS-00621,2025-11-23,Spain,45-54,At Risk,Paid Social,True,2026-03-31
CUS-00622,2025-01-19,Germany,25-34,High Value,Email,True,2026-07-18
CUS-00623,2025-06-26,United Kingdom,35-44,Active,Paid Search,True,2026-01-22
CUS-00624,2024-11-10,United Kingdom,25-34,Active,Organic,True,2025-05-24
CUS-00625,2024-07-15,Poland,35-44,New,Organic,False,
CUS-00626,2024-01-26,Poland,35-44,New,Email,False,
CUS-00627,2024-05-17,Poland,18-24,Active,Referral,False,
CUS-00628,2024-11-24,Poland,45-54,High Value,Paid Search,False,
CUS-00629,2024-01-24,Spain,18-24,Active,Referral,True,2026-05-05
CUS-00630,2024-05-05,United Kingdom,45-54,Active,Organic,False,
CUS-00631,2024-05-15,Poland,18-24,New,Organic,False,
CUS-00632,2024-06-23,Poland,55+,Active,Paid Search,True,2026-01-17
CUS-00633,2025-08-13,Poland,45-54,At Risk,Paid Social,False,
CUS-00634,2024-09-24,Poland,18-24,High Value,Paid Social,True,2026-04-09
CUS-00635,2026-01-23,United Kingdom,55+,At Risk,Paid Social,False,
CUS-00636,2025-10-14,Poland,18-24,New,Paid Social,False,
CUS-00637,2026-02-04,Germany,25-34,At Risk,Organic,True,2026-03-30
CUS-00638,2023-12-26,Spain,18-24,New,Organic,False,
CUS-00639,2024-05-19,Germany,35-44,New,Paid Social,True,2025-08-22
CUS-00640,2024-07-10,Poland,25-34,Active,Email,False,
CUS-00641,2025-02-02,Spain,35-44,High Value,Email,False,
CUS-00642,2024-04-26,Poland,18-24,Active,Organic,True,2025-08-08
CUS-00643,2023-08-13,United Kingdom,35-44,Active,Organic,False,
CUS-00644,2025-10-29,Poland,25-34,High Value,Paid Search,True,2025-12-17
CUS-00645,2024-09-21,United Kingdom,35-44,Active,Organic,False,
CUS-00646,2023-10-01,Poland,35-44,At Risk,Paid Search,False,
CUS-00647,2023-10-15,Germany,18-24,Active,Organic,True,2026-02-20
CUS-00648,2024-10-18,Poland,25-34,New,Paid Search,False,
CUS-00649,2024-02-04,Spain,25-34,At Risk,Organic,False,
CUS-00650,2026-04-08,United Kingdom,45-54,Active,Paid Search,True,2026-07-12
CUS-00651,2023-12-29,Poland,35-44,At Risk,Organic,False,
CUS-00652,2023-08-11,Poland,35-44,At Risk,Organic,True,2026-01-18
CUS-00653,2024-10-06,Poland,35-44,New,Paid Search,False,
CUS-00654,2025-07-21,United Kingdom,55+,New,Organic,False,
CUS-00655,2025-08-04,Germany,45-54,At Risk,Referral,False,
CUS-00656,2025-06-06,Germany,25-34,At Risk,Organic,False,
CUS-00657,2025-01-02,Poland,18-24,High Value,Organic,True,2025-05-25
CUS-00658,2023-10-10,Poland,18-24,Active,Paid Search,False,
CUS-00659,2024-08-18,Germany,35-44,Active,Paid Search,False,
CUS-00660,2025-08-03,Germany,35-44,At Risk,Organic,False,
CUS-00661,2024-01-16,Poland,55+,At Risk,Referral,False,
CUS-00662,2023-11-01,Poland,35-44,New,Organic,True,2025-07-15
CUS-00663,2025-08-24,Germany,35-44,At Risk,Organic,False,
CUS-00664,2023-11-15,Poland,18-24,New,Paid Search,False,
CUS-00665,2026-01-04,United Kingdom,45-54,New,Paid Social,False,
CUS-00666,2026-03-26,United Kingdom,35-44,At Risk,Organic,False,
CUS-00667,2023-10-14,Poland,25-34,At Risk,Paid Search,True,2024-06-05
CUS-00668,2024-03-10,Spain,25-34,Active,Paid Social,False,
CUS-00669,2025-12-13,Poland,18-24,Active,Paid Social,False,
CUS-00670,2024-11-05,Germany,45-54,High Value,Paid Search,False,
CUS-00671,2023-12-02,Poland,25-34,New,Paid Search,False,
CUS-00672,2024-08-11,Germany,35-44,Active,Paid Social,False,
CUS-00673,2024-01-23,Germany,35-44,Active,Paid Search,True,2026-06-07
CUS-00674,2025-04-29,Germany,18-24,Active,Paid Search,False,
CUS-00675,2026-02-18,Spain,25-34,At Risk,Paid Social,True,2026-06-13
CUS-00676,2026-03-09,Spain,35-44,Active,Email,True,2026-04-21
CUS-00677,2025-10-11,Spain,35-44,Active,Organic,False,
CUS-00678,2025-03-04,Spain,25-34,High Value,Organic,True,2026-02-16
CUS-00679,2025-06-09,Spain,18-24,New,Referral,False,
CUS-00680,2024-10-26,Poland,35-44,At Risk,Paid Social,True,2026-01-26
CUS-00681,2025-05-19,Germany,55+,New,Email,False,
CUS-00682,2024-11-08,Poland,35-44,At Risk,Organic,False,
CUS-00683,2025-12-22,Germany,18-24,High Value,Organic,True,2026-01-14
CUS-00684,2026-02-24,United Kingdom,18-24,New,Email,False,
CUS-00685,2023-12-24,United Kingdom,25-34,At Risk,Organic,False,
CUS-00686,2024-06-09,Spain,55+,Active,Referral,True,2025-10-07
CUS-00687,2024-06-14,Spain,25-34,Active,Organic,False,
CUS-00688,2024-09-06,Poland,18-24,Active,Paid Social,True,2026-01-31
CUS-00689,2023-11-26,Poland,25-34,Active,Email,True,2024-07-26
CUS-00690,2024-07-29,United Kingdom,25-34,Active,Referral,False,
CUS-00691,2024-04-18,Poland,18-24,High Value,Email,True,2024-08-12
CUS-00692,2024-03-22,Spain,18-24,High Value,Referral,False,
CUS-00693,2023-07-27,Poland,25-34,Active,Referral,False,
CUS-00694,2025-04-17,Poland,25-34,High Value,Email,True,2026-04-01
CUS-00695,2026-01-30,Germany,25-34,Active,Paid Social,False,
CUS-00696,2025-07-21,Spain,55+,Active,Paid Social,False,
CUS-00697,2024-10-17,United Kingdom,35-44,Active,Paid Social,False,
CUS-00698,2023-09-11,United Kingdom,25-34,High Value,Paid Search,True,2024-09-04
CUS-00699,2024-10-12,Spain,35-44,Active,Organic,True,2026-04-14
CUS-00700,2024-10-04,United Kingdom,25-34,At Risk,Email,False,
CUS-00701,2025-06-27,Poland,35-44,Active,Referral,False,
CUS-00702,2023-11-10,United Kingdom,35-44,Active,Organic,False,
CUS-00703,2024-07-19,Spain,55+,At Risk,Email,False,
CUS-00704,2024-09-05,Poland,35-44,High Value,Referral,True,2026-05-09
CUS-00705,2026-03-19,Poland,25-34,Active,Paid Social,False,
CUS-00706,2026-01-24,Poland,45-54,Active,Paid Search,True,2026-06-01
CUS-00707,2024-05-25,Germany,25-34,New,Referral,True,2026-03-16
CUS-00708,2024-01-17,Germany,25-34,High Value,Paid Search,True,2026-05-11
CUS-00709,2024-07-06,Spain,25-34,At Risk,Paid Search,False,
CUS-00710,2026-04-24,Spain,18-24,Active,Email,False,
CUS-00711,2024-03-10,Poland,35-44,At Risk,Organic,False,
CUS-00712,2024-09-07,Spain,35-44,High Value,Paid Social,True,2026-06-11
CUS-00713,2024-02-28,Spain,25-34,High Value,Email,True,2024-06-17
CUS-00714,2023-10-23,Germany,45-54,At Risk,Paid Search,False,
CUS-00715,2024-04-05,Poland,25-34,High Value,Paid Search,True,2025-07-26
CUS-00716,2026-02-01,Poland,45-54,Active,Organic,False,
CUS-00717,2025-12-23,Poland,45-54,High Value,Email,False,
CUS-00718,2024-10-13,Germany,45-54,At Risk,Organic,False,
CUS-00719,2025-06-04,United Kingdom,18-24,At Risk,Organic,False,
CUS-00720,2024-02-01,Spain,55+,At Risk,Paid Search,False,
CUS-00721,2025-07-20,Germany,25-34,Active,Email,True,2026-04-13
CUS-00722,2024-11-06,Poland,25-34,New,Organic,False,
CUS-00723,2025-04-08,Germany,55+,High Value,Paid Social,True,2025-11-05
CUS-00724,2025-09-07,Poland,25-34,High Value,Email,True,2026-04-04
CUS-00725,2025-08-28,Germany,45-54,Active,Paid Social,True,2026-02-14
CUS-00726,2023-11-24,United Kingdom,35-44,Active,Organic,False,
CUS-00727,2026-02-06,Germany,25-34,New,Paid Social,False,
CUS-00728,2023-09-22,Poland,45-54,New,Paid Social,False,
CUS-00729,2025-05-24,United Kingdom,25-34,Active,Organic,True,2026-01-29
CUS-00730,2026-02-14,Poland,25-34,High Value,Email,True,2026-04-03
CUS-00731,2023-09-01,Poland,25-34,Active,Paid Search,True,2024-01-20
CUS-00732,2024-07-12,Poland,45-54,New,Organic,False,
CUS-00733,2026-06-04,Spain,35-44,New,Organic,False,
CUS-00734,2026-01-01,Poland,25-34,Active,Paid Social,True,2026-01-09
CUS-00735,2026-06-01,Poland,25-34,Active,Referral,False,
CUS-00736,2024-09-13,Germany,25-34,At Risk,Organic,False,
CUS-00737,2026-01-03,Poland,35-44,High Value,Organic,True,2026-01-18
CUS-00738,2024-04-20,Spain,35-44,New,Paid Search,False,
CUS-00739,2025-07-22,Poland,35-44,New,Referral,False,
CUS-00740,2025-10-06,Poland,18-24,Active,Paid Search,True,2026-06-16
CUS-00741,2025-06-08,Germany,35-44,At Risk,Organic,True,2026-01-10
CUS-00742,2024-04-29,United Kingdom,25-34,New,Referral,False,
CUS-00743,2026-01-17,Spain,45-54,At Risk,Email,False,
CUS-00744,2025-05-30,United Kingdom,55+,At Risk,Paid Search,False,
CUS-00745,2026-04-04,Spain,25-34,Active,Referral,False,
CUS-00746,2025-08-24,Poland,45-54,High Value,Referral,False,
CUS-00747,2023-12-11,Germany,35-44,At Risk,Organic,False,
CUS-00748,2025-07-22,United Kingdom,45-54,At Risk,Paid Search,True,2025-12-04
CUS-00749,2025-04-17,Spain,35-44,New,Organic,False,
CUS-00750,2024-12-21,Spain,25-34,High Value,Organic,True,2025-08-27
CUS-00751,2026-05-29,Germany,45-54,New,Paid Search,False,
CUS-00752,2024-01-01,Poland,55+,Active,Organic,True,2024-09-06
CUS-00753,2024-12-16,Poland,25-34,At Risk,Organic,False,
CUS-00754,2025-04-22,Poland,35-44,High Value,Paid Social,True,2026-05-11
CUS-00755,2024-10-12,United Kingdom,45-54,At Risk,Referral,False,
CUS-00756,2026-05-17,Poland,45-54,Active,Email,False,
CUS-00757,2025-04-05,Spain,25-34,New,Paid Social,False,
CUS-00758,2025-11-23,Poland,25-34,At Risk,Paid Social,False,
CUS-00759,2023-09-18,Poland,25-34,New,Paid Social,False,
CUS-00760,2025-06-28,United Kingdom,25-34,High Value,Organic,True,2025-09-04
CUS-00761,2024-11-22,Poland,25-34,New,Organic,False,
CUS-00762,2024-08-18,Germany,55+,New,Referral,False,
CUS-00763,2024-12-06,Germany,18-24,Active,Paid Search,True,2025-03-06
CUS-00764,2025-04-10,Poland,35-44,Active,Referral,False,
CUS-00765,2025-09-29,Germany,18-24,High Value,Referral,True,2025-09-29
CUS-00766,2026-05-09,Poland,55+,Active,Paid Social,True,2026-06-30
CUS-00767,2025-07-09,Poland,35-44,Active,Organic,False,
CUS-00768,2025-04-24,Poland,45-54,Active,Organic,False,
CUS-00769,2023-10-15,United Kingdom,35-44,High Value,Email,True,2024-08-01
CUS-00770,2025-10-05,United Kingdom,25-34,Active,Organic,False,
CUS-00771,2025-02-04,Poland,25-34,Active,Paid Social,True,2026-06-02
CUS-00772,2025-09-04,Poland,45-54,New,Organic,False,
CUS-00773,2026-03-20,United Kingdom,25-34,Active,Email,True,2026-06-13
CUS-00774,2023-10-11,Poland,35-44,Active,Paid Search,False,
CUS-00775,2024-06-03,Poland,18-24,Active,Email,True,2025-07-22
CUS-00776,2025-11-22,Spain,18-24,Active,Paid Search,True,2026-01-11
CUS-00777,2024-10-12,United Kingdom,35-44,High Value,Email,False,
CUS-00778,2025-06-02,United Kingdom,55+,New,Organic,False,
CUS-00779,2025-08-13,Germany,35-44,New,Email,False,
CUS-00780,2024-01-27,Poland,18-24,Active,Organic,True,2024-03-11
CUS-00781,2026-03-27,United Kingdom,35-44,New,Paid Search,False,
CUS-00782,2026-02-22,Spain,35-44,High Value,Referral,False,
CUS-00783,2024-07-28,Spain,25-34,Active,Paid Search,False,
CUS-00784,2024-03-25,Germany,35-44,Active,Paid Search,False,
